date,county,state,FIPS_Code,cases,deaths
4/16/2020,Autauga,Alabama,1001,25,2
4/16/2020,Baldwin,Alabama,1003,102,2
4/16/2020,Barbour,Alabama,1005,14,0
4/16/2020,Bibb,Alabama,1007,24,0
4/16/2020,Blount,Alabama,1009,18,0
4/16/2020,Bullock,Alabama,1011,8,0
4/16/2020,Butler,Alabama,1013,11,0
4/16/2020,Calhoun,Alabama,1015,63,1
4/16/2020,Chambers,Alabama,1017,234,11
4/16/2020,Cherokee,Alabama,1019,11,0
4/16/2020,Chilton,Alabama,1021,37,0
4/16/2020,Choctaw,Alabama,1023,13,0
4/16/2020,Clarke,Alabama,1025,24,0
4/16/2020,Clay,Alabama,1027,14,0
4/16/2020,Cleburne,Alabama,1029,12,0
4/16/2020,Coffee,Alabama,1031,50,0
4/16/2020,Colbert,Alabama,1033,13,1
4/16/2020,Conecuh,Alabama,1035,8,0
4/16/2020,Coosa,Alabama,1037,20,1
4/16/2020,Covington,Alabama,1039,19,1
4/16/2020,Crenshaw,Alabama,1041,5,0
4/16/2020,Cullman,Alabama,1043,42,1
4/16/2020,Dale,Alabama,1045,14,0
4/16/2020,Dallas,Alabama,1047,21,2
4/16/2020,DeKalb,Alabama,1049,32,1
4/16/2020,Elmore,Alabama,1051,54,0
4/16/2020,Escambia,Alabama,1053,12,0
4/16/2020,Etowah,Alabama,1055,87,8
4/16/2020,Fayette,Alabama,1057,4,0
4/16/2020,Franklin,Alabama,1059,17,1
4/16/2020,Geneva,Alabama,1061,2,0
4/16/2020,Greene,Alabama,1063,22,0
4/16/2020,Hale,Alabama,1065,22,0
4/16/2020,Henry,Alabama,1067,15,0
4/16/2020,Houston,Alabama,1069,58,3
4/16/2020,Jackson,Alabama,1071,32,2
4/16/2020,Jefferson,Alabama,1073,634,22
4/16/2020,Lamar,Alabama,1075,7,0
4/16/2020,Lauderdale,Alabama,1077,22,4
4/16/2020,Lawrence,Alabama,1079,8,0
4/16/2020,Lee,Alabama,1081,294,12
4/16/2020,Limestone,Alabama,1083,38,0
4/16/2020,Lowndes,Alabama,1085,25,0
4/16/2020,Macon,Alabama,1087,24,2
4/16/2020,Madison,Alabama,1089,198,4
4/16/2020,Marengo,Alabama,1091,24,1
4/16/2020,Marion,Alabama,1093,60,4
4/16/2020,Marshall,Alabama,1095,117,2
4/16/2020,Mobile,Alabama,1097,594,23
4/16/2020,Monroe,Alabama,1099,7,1
4/16/2020,Montgomery,Alabama,1101,201,5
4/16/2020,Morgan,Alabama,1103,44,0
4/16/2020,Perry,Alabama,1105,8,0
4/16/2020,Pickens,Alabama,1107,30,0
4/16/2020,Pike,Alabama,1109,28,0
4/16/2020,Randolph,Alabama,1111,47,4
4/16/2020,Russell,Alabama,1113,35,0
4/16/2020,Shelby,Alabama,1117,242,7
4/16/2020,St. Clair,Alabama,1115,49,0
4/16/2020,Sumter,Alabama,1119,31,0
4/16/2020,Talladega,Alabama,1121,40,1
4/16/2020,Tallapoosa,Alabama,1123,160,7
4/16/2020,Tuscaloosa,Alabama,1125,132,0
4/16/2020,Walker,Alabama,1127,84,0
4/16/2020,Washington,Alabama,1129,13,1
4/16/2020,Wilcox,Alabama,1131,40,0
4/16/2020,Winston,Alabama,1133,9,0
4/16/2020,Anchorage,Alaska,2020,143,4
4/16/2020,Bethel Census Area,Alaska,2050,1,0
4/16/2020,Fairbanks North Star Borough,Alaska,2090,79,2
4/16/2020,Juneau City and Borough,Alaska,2110,23,0
4/16/2020,Kenai Peninsula Borough,Alaska,2122,15,0
4/16/2020,Ketchikan Gateway Borough,Alaska,2130,15,0
4/16/2020,Kodiak Island Borough,Alaska,2150,1,0
4/16/2020,Matanuska-Susitna Borough,Alaska,2170,15,1
4/16/2020,Nome Census Area,Alaska,2180,1,0
4/16/2020,Petersburg Borough,Alaska,2195,1,0
4/16/2020,Prince of Wales-Hyder Census Area,Alaska,2198,2,0
4/16/2020,Southeast Fairbanks Census Area,Alaska,2240,1,0
4/16/2020,Yukon-Koyukuk Census Area,Alaska,2290,1,0
4/16/2020,Apache,Arizona,4001,118,4
4/16/2020,Cochise,Arizona,4003,18,0
4/16/2020,Coconino,Arizona,4005,299,26
4/16/2020,Gila,Arizona,4007,5,0
4/16/2020,Graham,Arizona,4009,2,0
4/16/2020,Greenlee,Arizona,4011,2,0
4/16/2020,La Paz,Arizona,4012,5,1
4/16/2020,Maricopa,Arizona,4013,2264,64
4/16/2020,Mohave,Arizona,4015,51,2
4/16/2020,Navajo,Arizona,4017,410,11
4/16/2020,Pima,Arizona,4019,760,37
4/16/2020,Pinal,Arizona,4021,197,5
4/16/2020,Santa Cruz,Arizona,4023,14,0
4/16/2020,Yavapai,Arizona,4025,68,1
4/16/2020,Yuma,Arizona,4027,21,1
4/16/2020,Arkansas,Arkansas,5001,2,0
4/16/2020,Ashley,Arkansas,5003,11,0
4/16/2020,Baxter,Arkansas,5005,4,0
4/16/2020,Benton,Arkansas,5007,61,0
4/16/2020,Boone,Arkansas,5009,3,0
4/16/2020,Bradley,Arkansas,5011,7,0
4/16/2020,Carroll,Arkansas,5015,2,0
4/16/2020,Chicot,Arkansas,5017,7,0
4/16/2020,Clark,Arkansas,5019,27,0
4/16/2020,Clay,Arkansas,5021,1,0
4/16/2020,Cleburne,Arkansas,5023,70,4
4/16/2020,Cleveland,Arkansas,5025,8,0
